rowid;message_date;username;about;message_detail;tweet_id;account_creation_date;followers;token;gender;hashtag;image_url;internal_id;language;location;message_url;platform_type;received_timestamp;retweet_count;retweet_id;tweets;date
24383;01.10.2023 00:06;CgadaHi;Halil İbrahim ceyhan ♥️;HALİL İBRAHİM CEYHAN MENTİON ETKİNLİĞİ 📌HEDEF📌  1000 mention 📌Bol Rt Bol Fav   📎ETİKET📎 HalilİbrahimCeyhan #HalilİbrahimCeyhan   HALİL İBRAHİM CEYHAN MENTION EVENT 📌TARGET📌  1000 mentions 📌Plenty Rt Plenty Fav  📎TAG📎 HalilİbrahimCeyhan #HalilİbrahimCeyhan https://t.co/ZiMWRdhj3Q;1,70823E+18;14.07.2022 16:37;259;333;F;;http://pbs.twimg.com/media/F7TXNN_XQAASF8L.jpg;TWT202310011708226783424774544;tr;Türkiye;https://twitter.com/CgadaHi/statuses/1708226783424774544;Twitter;02.10.2023 05:38;42;0;92861;01.10.2023
26605;01.10.2023 00:18;LeonorO43665348;;RT @GunesiTurk: ⛔️ DISPONIBLE ⛔️ PELICULA #DarElbise (Vestido apretado)  #TubaBüyüküstün, #CanerCindoruk  #CananErguder y #HazarErgüçlü   ℹ️ Info de nuestras membresías por mje privado https://t.co/SrTQkirX2r;1,70823E+18;17.04.2021 19:33;318;352;F;DarElbise,TubaBüyüküstün,CanerCindoruk,CananErguder,HazarErgüçlü;;TWT202310011708229877822878132;es;;https://twitter.com/LeonorO43665348/statuses/1708229877822878132;Twitter;04.10.2023 05:37;0;1,70823E+18;182894;01.10.2023
24382;01.10.2023 00:24;Akbuluttsonerr;🅶🅰🅻🅰🆃🅰🆂🅰🆁🅰🆈 💛🦁♥️✍️📖🄰🄷🄼🄴🅃 🄺🄰🅈🄰 🎶📚 🎶🎶🎶🎶🎶🎤🅂🄴🄻🄳🄰 🄱🄰🄶🄲🄰🄽 🎶 📖📖📖📖🅈🅄🅂🅄🄵 🄷🄰🅈🄰🄻🄾🄶🄻🅄📖📚;Geldim fener trolleri anlat  https://t.co/gHyEQoounN;1,70823E+18;14.03.2023 10:05;2859;2743;U;;http://pbs.twimg.com/ext_tw_video_thumb/1708201779391791104/pu/img/SPBerU5mTBRQo3ii.jpg;TWT202310011708231349859938629;tr;Canada;https://twitter.com/Akbuluttsonerr/statuses/1708231349859938629;Twitter;02.10.2023 05:38;2;0;3727;01.10.2023
24381;01.10.2023 00:49;yunusmiroglu34_;;benim motivasyonum eleştiri mesleğe böyle başladım diyerek 200-300k kişiye bu şekilde hitap edip hedef göstererek tribünleri çekilmez hâle getiren bu ve bunun gibi kişilerdir. söylediklerinin temeli doğru fakat bu iğrenç üslupla değil uğur efendi haddini aşma çok zıpladın. https://t.co/z7hXy7rdmS;1,70824E+18;31.08.2018 00:55;562;423;M;;http://pbs.twimg.com/ext_tw_video_thumb/1708237662568501248/pu/img/V9KfT8GUj6TD9xop.jpg;TWT202310011708237768231436631;tr;;https://twitter.com/yunusmiroglu34_/statuses/1708237768231436631;Twitter;02.10.2023 05:38;20;0;9537;01.10.2023
26573;01.10.2023 04:48;bomberosCBQ;Cuerpo Bomberos Quilpué   Abnegación y Disciplina   Fundado el 15 de agosto 1949 Bulnes N°1029  +56 (32) 292 1298 • +56 (32) 291 3460 *Cuenta no monitoreada*;EMERGENCIA: 22:48 CLAVE 6-5 (RESCATE), AVENIDA V CENTENARIO / ACCESO HIPER LIDER, M-41;1,7083E+18;11.03.2011 16:17;20179;149;U;;;TWT202310011708297738834542991;es;Chile;https://twitter.com/bomberosCBQ/statuses/1708297738834542991;Twitter;02.10.2023 05:38;3;0;11996;01.10.2023
24379;01.10.2023 05:00;berkus94;;FENER’in aşkıyla, inliyor stadlar #FenerinMaçıVar;1,7083E+18;02.02.2023 09:58;293;500;U;FenerinMaçıVar;;TWT202310011708300865029685274;tr;;https://twitter.com/berkus94/statuses/1708300865029685274;Twitter;02.10.2023 05:38;0;0;1233;01.10.2023
24378;01.10.2023 05:01;hamzasurer21;HAKİMİYET KAYITSIZ ŞARTSIZ ALLAH ' INDIR;RT @HalkinPortali: HÜDA PAR Genel Başkanı Zekeriya Yapıcıoğlu:  Çoğu insanın yaradılış gayesini unuttuğu, hedef ve istikametini şaşırdığı, insani ve İslami değerlerini yitirme tehlikesi ile karşı kaşıya kaldığı çok kritik bir süreçten geçiyoruz. https://t.co/5Rc25hEgM0 https://t.co/jMJLcuhnN0;1,7083E+18;12.06.2015 20:25;955;1312;M;;;TWT202310011708301144320057642;tr;Türkiye;https://twitter.com/hamzasurer21/statuses/1708301144320057642;Twitter;02.10.2023 05:38;0;1,70822E+18;111750;01.10.2023
26572;01.10.2023 05:02;k41125Y;🥟𝗞won𝗬uri + 𝗞atarina𝗬u💙 ⇌ ( 𝗦𝗡𝗦𝗗 ▪︎ 𝗝 ) + æspa + IU 🦋너를 떠올린 모든 순간 나비가 내 맘에 날아 🦋;Royal Family Airport Preview Today. #JESSICA #YURI #YOONA https://t.co/bFuVD7Pp3j;1,7083E+18;01.11.2010 10:57;884;125;M;;http://pbs.twimg.com/media/F7UbGaFboAAweVD.jpg;TWT202310011708301441939697902;en;+63-805-2122-918 loc 1117;https://twitter.com/k41125Y/statuses/1708301441939697902;Twitter;02.10.2023 05:38;11;0;34455;01.10.2023
24377;01.10.2023 05:12;hasan_kalamar;;RT @ademyarslan: AİHM'in Yalçınkaya kararı gerçekten turnusol işlevi gördü. Kim demokrat kim faşist, kim Saray yalakası kim hukuka inanıyor ayen beyan ortaya döküldü.;1,7083E+18;09.07.2021 21:49;156;2162;M;;;TWT202310011708303829136015650;tr;;https://twitter.com/hasan_kalamar/statuses/1708303829136015650;Twitter;02.10.2023 05:38;0;1,70816E+18;7652;01.10.2023
24375;01.10.2023 05:14;AyberkAtik5;;@Aslanozyar Tam da İsmail Hocam Bfren bedelsizle ilgili bir şey paylaşmış mı acaba Egeen de bu haberle coşar mı diye düşünürken bu paylaşımınız şaşırttı çünkü BRSAN trenini kaçırdıktan sonra derin bir pişmanlık içerisine girdim ve alternatif bir şeyler var mı diye araştırıyordum aynı zamanda;1,7083E+18;03.05.2022 01:03;8;61;M;;;TWT202310011708304356527808588;tr;;https://twitter.com/AyberkAtik5/statuses/1708304356527808588;Twitter;02.10.2023 05:38;0;0;22;01.10.2023
